"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJFINANCE","EQ","22-Nov-2018","       2430.55","       2432.00","       2454.80","       2360.00","       2369.80","       2381.50","       2418.22","    1604279","          3879497956.25","     112270","     340759","         21.24"
"BAJFINANCE","EQ","26-Nov-2018","       2381.50","       2400.00","       2411.90","       2346.95","       2395.00","       2394.60","       2382.57","    1391434","          3315189670.40","      63395","     204596","         14.70"
"BAJFINANCE","EQ","27-Nov-2018","       2394.60","       2395.00","       2439.90","       2375.00","       2437.00","       2435.45","       2410.53","    1594955","          3844687322.35","      71903","     333606","         20.92"
"BAJFINANCE","EQ","28-Nov-2018","       2435.45","       2445.95","       2449.00","       2396.25","       2410.00","       2412.55","       2422.61","    1396260","          3382587671.70","      82033","     471631","         33.78"
"BAJFINANCE","EQ","29-Nov-2018","       2412.55","       2435.00","       2517.60","       2416.85","       2515.00","       2506.50","       2480.07","    2861284","          7096181708.20","     111458","    1122488","         39.23"
"BAJFINANCE","EQ","30-Nov-2018","       2506.50","       2538.00","       2564.40","       2507.05","       2531.35","       2537.70","       2533.84","    2737341","          6935996953.65","     110643","     850515","         31.07"
"BAJFINANCE","EQ","03-Dec-2018","       2537.70","       2548.00","       2555.55","       2490.75","       2509.10","       2508.65","       2516.61","    1115592","          2807514669.50","      61285","     263252","         23.60"
"BAJFINANCE","EQ","04-Dec-2018","       2508.65","       2509.00","       2549.00","       2495.00","       2542.50","       2543.55","       2529.18","    1329587","          3362767237.15","      57504","     323380","         24.32"
"BAJFINANCE","EQ","05-Dec-2018","       2543.55","       2539.90","       2539.90","       2470.30","       2508.00","       2494.10","       2504.04","    1327031","          3322939292.00","      62196","     348468","         26.26"
"BAJFINANCE","EQ","06-Dec-2018","       2494.10","       2481.00","       2494.00","       2418.00","       2425.50","       2432.40","       2466.92","    1317472","          3250101916.85","      59432","     347583","         26.38"
"BAJFINANCE","EQ","07-Dec-2018","       2432.40","       2443.00","       2497.75","       2414.65","       2486.35","       2486.35","       2455.62","    1478720","          3631175516.80","      64924","     285479","         19.31"
"BAJFINANCE","EQ","10-Dec-2018","       2486.35","       2410.45","       2443.90","       2382.35","       2395.60","       2395.55","       2404.57","    1399894","          3366149097.40","      73093","     321685","         22.98"
"BAJFINANCE","EQ","11-Dec-2018","       2395.55","       2360.00","       2446.50","       2332.10","       2432.00","       2426.75","       2402.08","    2189278","          5258818002.35","      86224","     424783","         19.40"
"BAJFINANCE","EQ","12-Dec-2018","       2426.75","       2445.00","       2514.90","       2434.35","       2485.40","       2493.95","       2487.74","    1683197","          4187350928.30","      74367","     435367","         25.87"
"BAJFINANCE","EQ","13-Dec-2018","       2493.95","       2510.20","       2528.95","       2475.00","       2490.80","       2489.10","       2506.18","    1713161","          4293486902.25","      81243","     408094","         23.82"
"BAJFINANCE","EQ","14-Dec-2018","       2489.10","       2488.25","       2512.00","       2464.25","       2485.35","       2486.35","       2490.57","    1204379","          2999593110.20","      55506","     261156","         21.68"
"BAJFINANCE","EQ","17-Dec-2018","       2486.35","       2498.60","       2509.90","       2466.25","       2475.00","       2474.40","       2482.95","    1019602","          2531621444.50","      53595","     371850","         36.47"
"BAJFINANCE","EQ","18-Dec-2018","       2474.40","       2469.70","       2538.20","       2446.60","       2533.00","       2532.20","       2500.36","    1653107","          4133359892.80","      69881","     456863","         27.64"
"BAJFINANCE","EQ","19-Dec-2018","       2532.20","       2550.80","       2629.10","       2550.15","       2592.00","       2596.90","       2597.80","    2946314","          7653926827.95","     161533","     884477","         30.02"
"BAJFINANCE","EQ","20-Dec-2018","       2596.90","       2560.00","       2609.90","       2531.60","       2594.00","       2591.40","       2584.53","    1467028","          3791572612.80","      59610","     264554","         18.03"
"BAJFINANCE","EQ","21-Dec-2018","       2591.40","       2615.00","       2623.90","       2532.70","       2587.00","       2591.25","       2586.49","    3042464","          7869303799.75","     106879","    1480901","         48.67"
"BAJFINANCE","EQ","24-Dec-2018","       2591.25","       2594.00","       2604.85","       2553.00","       2566.20","       2564.90","       2568.95","    1050017","          2697442198.15","      38810","     181276","         17.26"
"BAJFINANCE","EQ","26-Dec-2018","       2564.90","       2560.00","       2582.95","       2503.70","       2575.00","       2567.40","       2545.04","    1662068","          4230029670.65","      62517","     330566","         19.89"
"BAJFINANCE","EQ","27-Dec-2018","       2567.40","       2598.85","       2626.75","       2570.00","       2595.00","       2587.15","       2587.24","    1626301","          4207634092.90","      58180","     506414","         31.14"
"BAJFINANCE","EQ","28-Dec-2018","       2587.15","       2603.00","       2643.80","       2585.95","       2641.00","       2634.80","       2620.21","    1901581","          4982547527.55","      57926","     325153","         17.10"
"BAJFINANCE","EQ","31-Dec-2018","       2634.80","       2656.95","       2666.30","       2635.60","       2641.00","       2645.15","       2648.68","    1453327","          3849395233.75","      63838","     213940","         14.72"
"BAJFINANCE","EQ","01-Jan-2019","       2645.15","       2645.00","       2664.00","       2612.10","       2651.00","       2656.85","       2637.85","     917872","          2421210677.80","      38274","     159441","         17.37"
"BAJFINANCE","EQ","02-Jan-2019","       2656.85","       2635.10","       2662.00","       2601.90","       2614.50","       2614.05","       2633.22","    1304915","          3436123168.30","      62076","     291745","         22.36"
"BAJFINANCE","EQ","03-Jan-2019","       2614.05","       2612.00","       2648.00","       2575.30","       2590.00","       2586.20","       2619.24","    1282478","          3359123630.90","      58136","     272506","         21.25"
"BAJFINANCE","EQ","04-Jan-2019","       2586.20","       2601.00","       2611.90","       2563.65","       2575.00","       2576.05","       2586.04","    1051021","          2717982194.90","      44956","     149919","         14.26"
