"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BATAINDIA","EQ","22-Nov-2018","        975.60","        976.10","        979.40","        951.00","        954.05","        958.40","        965.11","     759416","           732916809.70","      23517","     295084","         38.86"
"BATAINDIA","EQ","26-Nov-2018","        958.40","        955.30","        975.20","        943.65","        973.00","        971.45","        955.74","     960630","           918111433.70","      26177","     236995","         24.67"
"BATAINDIA","EQ","27-Nov-2018","        971.45","        967.00","       1007.25","        967.00","       1006.00","       1004.25","        994.64","    2018983","          2008158969.65","      42746","     697841","         34.56"
"BATAINDIA","EQ","28-Nov-2018","       1004.25","       1007.00","       1026.40","        991.10","        993.65","        999.15","       1009.92","    1228582","          1240770830.30","      33481","     228329","         18.58"
"BATAINDIA","EQ","29-Nov-2018","        999.15","       1002.00","       1016.00","        995.00","       1005.00","       1001.45","       1006.00","     989863","           995798803.85","      28543","     243491","         24.60"
"BATAINDIA","EQ","30-Nov-2018","       1001.45","       1001.10","       1049.90","       1000.00","       1045.00","       1043.30","       1034.57","    2093515","          2165883394.05","      96795","     392156","         18.73"
"BATAINDIA","EQ","03-Dec-2018","       1043.30","       1046.30","       1069.50","       1046.30","       1062.00","       1063.80","       1061.73","    1716616","          1822587215.40","      46228","     396090","         23.07"
"BATAINDIA","EQ","04-Dec-2018","       1063.80","       1063.00","       1075.35","       1048.45","       1059.00","       1059.30","       1062.68","    1042001","          1107308636.35","      34210","     191891","         18.42"
"BATAINDIA","EQ","05-Dec-2018","       1059.30","       1045.00","       1058.90","       1041.60","       1053.00","       1051.35","       1050.05","     607938","           638362529.00","      21639","      94613","         15.56"
"BATAINDIA","EQ","06-Dec-2018","       1051.35","       1046.00","       1049.00","       1032.00","       1034.20","       1039.75","       1039.32","     497411","           516969521.30","      24366","      70780","         14.23"
"BATAINDIA","EQ","07-Dec-2018","       1039.75","       1042.30","       1074.00","       1040.05","       1056.00","       1059.90","       1063.04","    1279061","          1359693395.80","      35722","     102902","          8.05"
"BATAINDIA","EQ","10-Dec-2018","       1059.90","       1044.00","       1048.00","       1011.40","       1017.25","       1015.80","       1030.43","     801135","           825512033.30","      28157","     118148","         14.75"
"BATAINDIA","EQ","11-Dec-2018","       1015.80","       1007.35","       1080.00","       1000.55","       1075.00","       1071.55","       1050.73","    1313190","          1379807885.15","      42987","     212868","         16.21"
"BATAINDIA","EQ","12-Dec-2018","       1071.55","       1075.00","       1087.00","       1066.60","       1080.50","       1081.00","       1079.11","    1468624","          1584805732.85","      40270","     232334","         15.82"
"BATAINDIA","EQ","13-Dec-2018","       1081.00","       1086.40","       1094.80","       1076.00","       1082.00","       1086.65","       1087.38","     846676","           920658006.85","      26865","     132271","         15.62"
"BATAINDIA","EQ","14-Dec-2018","       1086.65","       1075.15","       1104.00","       1074.15","       1086.10","       1091.30","       1090.37","     856295","           933674220.25","      31668","     106989","         12.49"
"BATAINDIA","EQ","17-Dec-2018","       1091.30","       1091.15","       1104.80","       1087.00","       1091.10","       1092.40","       1094.78","     643986","           705024720.00","      19963","      79610","         12.36"
"BATAINDIA","EQ","18-Dec-2018","       1092.40","       1082.25","       1102.70","       1082.25","       1096.40","       1098.15","       1092.26","     638077","           696948985.80","      23214","     111152","         17.42"
"BATAINDIA","EQ","19-Dec-2018","       1098.15","       1096.00","       1127.90","       1092.00","       1117.50","       1116.45","       1118.83","    1371418","          1534377659.30","      37927","     147688","         10.77"
"BATAINDIA","EQ","20-Dec-2018","       1116.45","       1107.00","       1116.50","       1101.65","       1105.95","       1106.80","       1108.81","     631415","           700119826.35","      25956","     228508","         36.19"
"BATAINDIA","EQ","21-Dec-2018","       1106.80","       1106.00","       1139.00","       1102.20","       1111.30","       1118.70","       1118.79","    1802170","          2016245659.20","      39625","     524116","         29.08"
"BATAINDIA","EQ","24-Dec-2018","       1118.70","       1124.00","       1128.85","       1101.45","       1111.65","       1109.00","       1112.72","    1159490","          1290184782.10","      31591","     269105","         23.21"
"BATAINDIA","EQ","26-Dec-2018","       1109.00","       1107.90","       1107.90","       1075.25","       1097.90","       1096.65","       1091.03","     665666","           726260623.30","      20057","      83188","         12.50"
"BATAINDIA","EQ","27-Dec-2018","       1096.65","       1102.10","       1136.95","       1102.10","       1134.00","       1129.90","       1122.45","    1529162","          1716414660.35","      32618","     195174","         12.76"
"BATAINDIA","EQ","28-Dec-2018","       1129.90","       1135.00","       1144.00","       1125.00","       1128.15","       1136.80","       1136.92","    1213059","          1379153141.35","      29462","     151719","         12.51"
"BATAINDIA","EQ","31-Dec-2018","       1136.80","       1135.00","       1144.90","       1126.00","       1129.00","       1134.30","       1137.56","     585584","           666138122.45","      18473","      97215","         16.60"
"BATAINDIA","EQ","01-Jan-2019","       1134.30","       1133.00","       1137.80","       1120.45","       1126.00","       1126.05","       1127.85","     314687","           354919739.80","       8333","      31733","         10.08"
"BATAINDIA","EQ","02-Jan-2019","       1126.05","       1120.40","       1135.00","       1108.00","       1111.60","       1112.05","       1120.65","     493851","           553434746.55","      12821","      70459","         14.27"
"BATAINDIA","EQ","03-Jan-2019","       1112.05","       1112.00","       1128.45","       1108.00","       1111.05","       1113.00","       1118.62","     573624","           641665932.95","      20702","      67516","         11.77"
"BATAINDIA","EQ","04-Jan-2019","       1113.00","       1121.00","       1125.05","       1094.00","       1117.95","       1116.50","       1110.57","     737834","           819418017.15","      23289","     126977","         17.21"
"BATAINDIA","EQ","07-Jan-2019","       1116.50","       1125.00","       1136.80","       1122.00","       1126.90","       1125.10","       1130.12","     740031","           836323438.40","      17062","     105356","         14.24"
"BATAINDIA","EQ","08-Jan-2019","       1125.10","       1126.00","       1134.75","       1114.00","       1129.00","       1131.45","       1125.26","     486912","           547901591.95","      14170","     134544","         27.63"
"BATAINDIA","EQ","09-Jan-2019","       1131.45","       1134.00","       1152.45","       1126.30","       1148.00","       1148.20","       1140.66","    1099623","          1254292084.10","      34528","     293918","         26.73"
"BATAINDIA","EQ","10-Jan-2019","       1148.20","       1148.00","       1169.90","       1143.55","       1169.00","       1165.50","       1157.73","    1108076","          1282848646.05","      48739","     258859","         23.36"
"BATAINDIA","EQ","11-Jan-2019","       1165.50","       1165.00","       1166.85","       1151.00","       1152.15","       1153.80","       1157.35","     603904","           698929204.05","      16856","     158233","         26.20"
"BATAINDIA","EQ","14-Jan-2019","       1153.80","       1148.50","       1166.40","       1147.45","       1166.25","       1162.50","       1160.35","     440400","           511018253.05","      14625","      59238","         13.45"
"BATAINDIA","EQ","15-Jan-2019","       1162.50","       1162.50","       1177.75","       1160.00","       1166.65","       1167.30","       1169.92","     819711","           958998460.40","      19887","     159600","         19.47"
"BATAINDIA","EQ","16-Jan-2019","       1167.30","       1162.15","       1173.90","       1161.50","       1162.20","       1165.05","       1167.21","     352173","           411059779.40","       9464","      75792","         21.52"
"BATAINDIA","EQ","17-Jan-2019","       1165.05","       1165.00","       1168.15","       1138.35","       1153.55","       1152.25","       1152.42","     555003","           639596320.25","      13548","     184391","         33.22"
"BATAINDIA","EQ","18-Jan-2019","       1152.25","       1156.80","       1162.75","       1148.00","       1157.00","       1155.85","       1155.44","     273012","           315449214.25","       9030","      38639","         14.15"
"BATAINDIA","EQ","21-Jan-2019","       1155.85","       1159.90","       1159.90","       1143.20","       1148.00","       1147.55","       1148.89","     311638","           358037108.55","      11144","      86246","         27.68"
