"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","22-Nov-2018","       1689.95","       1692.90","       1703.70","       1663.00","       1675.00","       1675.10","       1683.93","     808599","          1361624987.20","      37443","     305930","         37.83"
"HINDUNILVR","EQ","26-Nov-2018","       1675.10","       1678.10","       1750.00","       1678.10","       1740.00","       1744.00","       1727.56","    2314140","          3997809237.60","      85891","     737424","         31.87"
"HINDUNILVR","EQ","27-Nov-2018","       1744.00","       1738.90","       1741.50","       1709.25","       1730.80","       1733.30","       1725.98","    1592918","          2749346055.40","      90395","     910042","         57.13"
"HINDUNILVR","EQ","28-Nov-2018","       1733.30","       1731.00","       1748.00","       1716.75","       1737.45","       1732.20","       1732.38","    1205956","          2089176907.65","      55112","     629162","         52.17"
"HINDUNILVR","EQ","29-Nov-2018","       1732.20","       1745.90","       1780.00","       1737.50","       1774.45","       1768.50","       1763.68","    1936534","          3415426622.55","      79305","     937875","         48.43"
"HINDUNILVR","EQ","30-Nov-2018","       1768.50","       1770.95","       1798.30","       1742.25","       1774.30","       1754.00","       1763.32","    2373749","          4185668861.55","      84072","    1335813","         56.27"
"HINDUNILVR","EQ","03-Dec-2018","       1754.00","       1769.50","       1838.30","       1748.05","       1836.00","       1825.60","       1794.19","    4310053","          7733058276.90","     137726","    1486187","         34.48"
"HINDUNILVR","EQ","04-Dec-2018","       1825.60","       1835.00","       1848.95","       1801.00","       1811.00","       1807.65","       1817.21","    3155914","          5734950766.85","     133167","    1397705","         44.29"
"HINDUNILVR","EQ","05-Dec-2018","       1807.65","       1803.00","       1854.80","       1788.00","       1852.00","       1848.10","       1826.46","    2847336","          5200551572.95","     109627","     973401","         34.19"
"HINDUNILVR","EQ","06-Dec-2018","       1848.10","       1840.00","       1847.00","       1797.65","       1799.00","       1801.50","       1815.81","    2399579","          4357185526.70","     144275","    1009472","         42.07"
"HINDUNILVR","EQ","07-Dec-2018","       1801.50","       1801.30","       1832.75","       1792.10","       1825.15","       1824.30","       1811.81","    1774240","          3214584334.20","      74960","     783922","         44.18"
"HINDUNILVR","EQ","10-Dec-2018","       1824.30","       1796.80","       1815.00","       1790.00","       1800.00","       1795.80","       1802.24","    1216028","          2191574721.75","      72293","     548580","         45.11"
"HINDUNILVR","EQ","11-Dec-2018","       1795.80","       1781.00","       1819.90","       1770.10","       1795.70","       1794.90","       1795.87","    2237806","          4018805765.60","     122001","    1239189","         55.38"
"HINDUNILVR","EQ","12-Dec-2018","       1794.90","       1796.00","       1845.05","       1795.95","       1838.15","       1839.10","       1826.80","    1449484","          2647920690.50","      68923","     653738","         45.10"
"HINDUNILVR","EQ","13-Dec-2018","       1839.10","       1848.00","       1867.45","       1837.05","       1852.05","       1855.55","       1853.19","    1586900","          2940819581.00","     104574","     758442","         47.79"
"HINDUNILVR","EQ","14-Dec-2018","       1855.55","       1837.00","       1865.85","       1832.75","       1860.55","       1860.55","       1852.52","    1573884","          2915656040.00","      84581","     759032","         48.23"
"HINDUNILVR","EQ","17-Dec-2018","       1860.55","       1865.00","       1869.50","       1845.05","       1850.75","       1850.70","       1855.70","    1179613","          2189010587.15","      50816","     475479","         40.31"
"HINDUNILVR","EQ","18-Dec-2018","       1850.70","       1848.90","       1848.90","       1833.00","       1844.00","       1840.75","       1839.35","    1521255","          2798114681.90","      58549","    1040031","         68.37"
"HINDUNILVR","EQ","19-Dec-2018","       1840.75","       1849.95","       1858.00","       1842.00","       1845.00","       1844.80","       1848.62","    1687085","          3118785203.60","      89407","    1324512","         78.51"
"HINDUNILVR","EQ","20-Dec-2018","       1844.80","       1839.00","       1854.90","       1821.00","       1833.00","       1834.25","       1839.16","    1500656","          2759945725.90","      84823","     898964","         59.90"
